2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>54df410415a226914704a303b73c064a392b9ee5 
2016-06-06 17:56:26, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:57:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 17:57:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465207049&signMethod=01&txnAmt=250000&txnSubType=01&txnTime=20160606175729&txnType=01&version=5.0.0 
2016-06-06 17:57:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >1f306815b685b15c1fff7e2842d9a318a12d2328 
2016-06-06 17:57:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >hComH5w3zrUEl4kQ6AacNwJnE0WA1xgQsGqZXxcQ0JuriQt91tfqovxXxyF5IZqBsjVnTiIAGNOth6i3YPUCWHfU2cW5FcFs0sW1BuyFM8PpKTq4wQ6RHCPROjRIn7801fUIb0VEQqIFLRCGtdNz/gmANROziXaRK742fknu/u4= 
2016-06-06 17:57:29, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465207049&queryId=201606061757295775368&respCode=00&respMsg=Success!&settleAmt=250000&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=577536&traceTime=0606175729&txnAmt=250000&txnSubType=01&txnTime=20160606175729&txnType=01&version=5.0.0 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>18149f2f0077de2eb2eef1da6e67a67ae13780de 
2016-06-06 17:57:52, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[71]------ 验证签名证书目录 :>ThinkPHP/Library/Org/Pay/UnionPay/certs/ 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[81]------ 加载验签证书成功 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[50]------ 报文去[signature] key=val&串>accNo=6216***********0018&accessType=0&bizType=000201&certId=68759585097&currencyCode=156&encoding=utf-8&merId=777290058127246&orderId=E1465207049&queryId=201606061757295775368&respCode=00&respMsg=success&settleAmt=250000&settleCurrencyCode=156&settleDate=0606&signMethod=01&traceNo=577536&traceTime=0606175729&txnAmt=250000&txnSubType=01&txnTime=20160606175729&txnType=01&version=5.0.0 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[54]------ 摘要shax16>c93a168663a1f34a28d226579f6e14c993c3c584 
2016-06-06 17:58:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[56]------ 验签成功 
2016-06-06 17:58:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
